Jaccard
Opening and cleaning files...
Getting k-grams...
Getting minHashes...
Calculating empirical...
Calculating theoretical...
['hamlet_chapter1', 'hamlet_chapter2', 'hamlet_chapter3', 'hamlet_chapter4', 'hamlet_chapter5', 'kingLear_chapter1', 'kingLear_chapter2', 'kingLear_chapter3', 'kingLear_chapter4', 'kingLear_chapter5', 'othello_chapter1', 'othello_chapter2', 'othello_chapter3', 'othello_chapter4', 'othello_chapter5', 'romeoJuliet_chapter1', 'romeoJuliet_chapter2', 'romeoJuliet_chapter3', 'romeoJuliet_chapter4', 'romeoJuliet_chapter5', 'romeoJuliet_prologue', 'ulysses_chapter1', 'ulysses_chapter2', 'ulysses_chapter3']
Comparison: empirical | theoretical | sanity-check
hamlet_chapter5 vs kingLear_chapter2:   0.09765625 | 0.09459971218662425 | 0.9
hamlet_chapter5 vs kingLear_chapter3:   0.08984375 | 0.08923877816622859 | 0.9354838709677419
hamlet_chapter5 vs kingLear_chapter4:   0.109375 | 0.09619272237196766 | 0.9
hamlet_chapter5 vs kingLear_chapter5:   0.078125 | 0.0861933455593398 | 0.9
hamlet_chapter5 vs othello_chapter1:    0.078125 | 0.10074517109520541 | 0.9
hamlet_chapter5 vs othello_chapter2:    0.09765625 | 0.1022563727283815 | 0.9
hamlet_chapter5 vs othello_chapter3:    0.09765625 | 0.1024833345542451 | 0.9
hamlet_chapter5 vs othello_chapter4:    0.0859375 | 0.09630558603751894 | 0.9
hamlet_chapter5 vs othello_chapter5:    0.08984375 | 0.08471802973453324 | 0.9
hamlet_chapter5 vs romeoJuliet_chapter1:        0.0859375 | 0.0904432427326611 | 0.9354838709677419
hamlet_chapter5 vs romeoJuliet_chapter2:        0.1015625 | 0.09001735456123142 | 0.9
hamlet_chapter5 vs romeoJuliet_chapter3:        0.1171875 | 0.09423598396180499 | 0.9
hamlet_chapter5 vs romeoJuliet_chapter4:        0.0859375 | 0.08264338401324703 | 0.9354838709677419
hamlet_chapter5 vs romeoJuliet_chapter5:        0.08203125 | 0.0824956774023386 | 0.8709677419354839
hamlet_chapter5 vs romeoJuliet_prologue:        0.0 | 0.007257782441413081 | 0.8
hamlet_chapter5 vs ulysses_chapter1:    0.03125 | 0.07210616416315918 | 0.8055555555555556
hamlet_chapter5 vs ulysses_chapter2:    0.0234375 | 0.0346114921848645 | 0.8108108108108109
hamlet_chapter5 vs ulysses_chapter3:    0.02734375 | 0.050641741776656674 | 0.8108108108108109
kingLear_chapter1 vs kingLear_chapter1: 1.0 | 1.0 | 1.0
kingLear_chapter1 vs kingLear_chapter2: 0.12109375 | 0.12514115830471756 | 1.0
kingLear_chapter1 vs kingLear_chapter3: 0.09765625 | 0.11525722094827785 | 0.9
kingLear_chapter1 vs kingLear_chapter4: 0.09375 | 0.11408604498798865 | 1.0
kingLear_chapter1 vs kingLear_chapter5: 0.0859375 | 0.10158623886285215 | 1.0
kingLear_chapter1 vs othello_chapter1:  0.125 | 0.11297450174554775 | 1.0
kingLear_chapter1 vs othello_chapter2:  0.12890625 | 0.10348132978955166 | 1.0
kingLear_chapter1 vs othello_chapter3:  0.11328125 | 0.11273550684811044 | 1.0
kingLear_chapter1 vs othello_chapter4:  0.13671875 | 0.10167719754692436 | 1.0
kingLear_chapter1 vs othello_chapter5:  0.05859375 | 0.08665528419073071 | 1.0
kingLear_chapter1 vs romeoJuliet_chapter1:      0.08984375 | 0.09757497183906824 | 0.9
kingLear_chapter1 vs romeoJuliet_chapter2:      0.1171875 | 0.09701710612088925 | 1.0
kingLear_chapter1 vs romeoJuliet_chapter3:      0.1015625 | 0.10331971934233951 | 1.0
kingLear_chapter1 vs romeoJuliet_chapter4:      0.09375 | 0.08116925486102049 | 0.9
kingLear_chapter1 vs romeoJuliet_chapter5:      0.0703125 | 0.08135057251421722 | 0.896551724137931
kingLear_chapter1 vs romeoJuliet_prologue:      0.0078125 | 0.006355258976803305 | 0.8888888888888888
kingLear_chapter1 vs ulysses_chapter1:  0.046875 | 0.07423993028659953 | 0.7714285714285715
kingLear_chapter1 vs ulysses_chapter2:  0.0390625 | 0.04001636255454185 | 0.7297297297297297
kingLear_chapter1 vs ulysses_chapter3:  0.05078125 | 0.05665611516493533 | 0.7297297297297297
kingLear_chapter2 vs kingLear_chapter2: 1.0 | 1.0 | 1.0
kingLear_chapter2 vs kingLear_chapter3: 0.11328125 | 0.11196351931330473 | 0.9
kingLear_chapter2 vs kingLear_chapter4: 0.09765625 | 0.11000075137125254 | 1.0
kingLear_chapter2 vs kingLear_chapter5: 0.08984375 | 0.10102828547890032 | 1.0
kingLear_chapter2 vs othello_chapter1:  0.09375 | 0.10117741976149056 | 1.0
kingLear_chapter2 vs othello_chapter2:  0.0625 | 0.09580196440145584 | 1.0
kingLear_chapter2 vs othello_chapter3:  0.10546875 | 0.10476669601308011 | 1.0
